Object,Property,Property split,Type,Access
FormOld,ActiveControl,Active Control,Control,R_O
FormOld,DefaultControl,Default Control,Control,R_O
FormOld,RecordsetClone,Recordset Clone,Object,R_O
FormOld,Recordset,Recordset,Object,V
FormOld,Section,Section,Section,R_O
FormOld,Form,Form,Form,R_O
FormOld,Module,Module,Module,R_O
FormOld,Properties,Properties,Properties,R_O
FormOld,Controls,Controls,Controls,R_O
FormOld,Name,Name,String,V
FormOld,SubdatasheetHeight,Subdatasheet Height,Integer,V
FormOld,SubdatasheetExpanded,Subdatasheet Expanded,Boolean,V
FormOldV10,RecordSource,Record Source,String,V
FormOldV10,Filter,Filter,String,V
